timestamp,strategy,action,side,symbol,name,price,quantity,usd_amount,reason,pnl,pnl_pct,resolved,moon,portfolio_value,cash,hold_hours,score,pattern_bonus,f_pc_1h,f_pc_24h,f_pc_7d,f_pc_14d,f_pc_30d,f_vol_mcap,f_cap_rank,f_ret_30m,f_ret_2h,f_ema_spread,f_rsi14,f_range_pos,f_vol_5m
2026-09-04T05:30:18Z,daytrade,BUY,long,ZEC,Zcash,955.45000000,1.25595269,1200.00,long momentum entry (score 1.15),,,False,False,9919.94,5134.61,,1.149,0.000,0.1000,17.2476,20.0000,60.0000,84.8000,6.4183,95.6000,0.4743,0.8616,0.3114,57.0884,85.2999,0.2016
2026-09-04T05:32:28Z,daytrade,SELL,long,HYPE,Hyperliquid,86.14000000,13.75831231,1183.36,stop-loss -1.24%,-16.64,-1.238,True,False,9907.63,6317.97,3.65,0.634,0.000,-1.1000,6.9186,2.2000,17.5000,57.2000,8.7580,96.0000,0.4520,-0.0650,0.1703,54.3586,89.5037,0.2606
2026-09-04T06:35:35Z,daytrade,SELL,long,BNB,BNB,720.97000000,1.65052817,1188.20,max hold 6h (-0.83%),-11.80,-0.835,True,False,9898.51,7506.17,6.00,0.743,0.000,0.2000,5.8957,1.8000,10.9000,22.2000,1.2445,98.4000,0.3194,0.7725,0.1277,67.8961,99.6517,0.0769
2026-09-04T06:39:15Z,aggressive,BUY,long,ZEC,Zcash,949.62000000,0.75594946,717.86,long momentum entry (score 67.92),,,False,False,9642.71,482.14,,67.923,0.000,1.0000,14.2815,21.5000,60.0000,86.6000,6.2880,95.6000,-0.3648,-0.2670,0.2018,39.9692,82.6767,0.2345
2026-09-04T06:40:26Z,daytrade,SELL,long,ETH,Ethereum,2501.93000000,0.47745991,1192.78,max hold 6h (-0.45%),-7.22,-0.452,True,False,9891.72,8698.95,6.01,0.676,0.000,0.4000,5.5361,-0.3000,8.4000,33.8000,5.4710,99.2000,0.2882,0.8137,0.0856,72.9627,93.9099,0.0885
2026-09-04T07:41:14Z,daytrade,SELL,long,ZEC,Zcash,968.09000000,1.25595269,1214.05,"trailing stop (peak +2.11%, now +1.32%)",14.05,1.323,True,False,9913.00,9913.00,2.18,1.149,0.000,0.1000,17.2476,20.0000,60.0000,84.8000,6.4183,95.6000,0.4743,0.8616,0.3114,57.0884,85.2999,0.2016
2026-09-04T08:12:07Z,daytrade,BUY,long,ZEC,Zcash,970.40000000,1.23660346,1200.00,long momentum entry (score 1.84),,,False,False,9913.00,8711.20,,1.837,0.000,1.2000,16.6459,21.8000,60.0000,86.3000,6.4172,95.6000,0.4530,1.5676,0.6965,65.4465,95.3379,0.3315
2026-09-04T08:35:16Z,daytrade,BUY,long,ETH,Ethereum,2514.82000000,0.47717133,1200.00,long momentum entry (score 0.62),,,False,False,9907.59,7509.40,,0.616,0.000,-0.1000,4.5217,0.0000,5.7000,34.0000,5.6108,99.2000,0.4021,0.4095,0.0591,59.6436,94.4678,0.0848
2026-09-04T08:52:58Z,daytrade,BUY,long,SOL,Solana,104.24000000,11.51189563,1200.00,long momentum entry (score 0.68),,,False,False,9941.49,6307.60,,0.676,0.000,0.0000,3.6389,-3.7000,14.9000,40.0000,6.7723,97.2000,0.3578,0.5988,0.0909,69.3894,76.0415,0.1094
2026-09-04T08:52:58Z,daytrade,BUY,long,XRP,XRP,1.45000000,827.58620690,1200.00,long momentum entry (score 0.67),,,False,False,9939.69,5105.80,,0.667,0.000,-0.1000,6.1804,1.2000,11.2000,35.2000,4.4801,98.0000,0.3739,0.5277,0.0902,62.9721,77.0245,0.1330
2026-09-04T08:56:02Z,daytrade,SELL,long,ZEC,Zcash,1007.94000000,1.23660346,1244.55,take-profit 3.87%,44.55,3.869,True,True,9955.98,6350.35,0.73,1.837,0.000,1.2000,16.6459,21.8000,60.0000,86.3000,6.4172,95.6000,0.4530,1.5676,0.6965,65.4465,95.3379,0.3315
2026-09-04T08:57:10Z,daytrade,BUY,long,HYPE,Hyperliquid,86.73000000,13.83604289,1200.00,long momentum entry (score 1.24),,,False,False,9957.57,5148.55,,1.243,0.000,0.4000,5.8319,3.3000,18.5000,51.4000,8.5384,96.4000,0.8542,0.8777,0.0680,56.0973,82.3033,0.2151
2026-09-04T12:34:03Z,daytrade,SELL,long,SOL,Solana,102.16000000,11.51189563,1174.29,stop-loss -2.00%,-25.71,-1.995,True,False,9875.73,6322.84,3.68,0.676,0.000,0.0000,3.6389,-3.7000,14.9000,40.0000,6.7723,97.2000,0.3578,0.5988,0.0909,69.3894,76.0415,0.1094
2026-09-04T12:34:03Z,daytrade,SELL,long,XRP,XRP,1.42000000,827.58620690,1173.41,stop-loss -2.07%,-26.59,-2.069,True,False,9873.96,7496.25,3.68,0.667,0.000,-0.1000,6.1804,1.2000,11.2000,35.2000,4.4801,98.0000,0.3739,0.5277,0.0902,62.9721,77.0245,0.1330
2026-09-04T12:34:03Z,daytrade,BUY,long,ZEC,Zcash,991.74000000,1.20999456,1200.00,long momentum entry (score 1.62),,,False,False,9873.96,6294.45,,1.624,0.000,0.7000,16.7159,26.4000,53.4000,95.8000,7.4445,95.6000,0.2444,1.8292,0.6160,72.1349,94.8236,0.2343
2026-09-04T12:39:31Z,daytrade,SELL,long,ETH,Ethereum,2451.45000000,0.47717133,1168.01,stop-loss -2.52%,-31.99,-2.520,True,False,9844.25,7462.46,4.07,0.616,0.000,-0.1000,4.5217,0.0000,5.7000,34.0000,5.6108,99.2000,0.4021,0.4095,0.0591,59.6436,94.4678,0.0848
2026-09-04T12:39:31Z,daytrade,SELL,long,HYPE,Hyperliquid,85.63000000,13.83604289,1183.00,stop-loss -1.27%,-17.00,-1.268,True,False,9842.47,8645.46,3.71,1.243,0.000,0.4000,5.8319,3.3000,18.5000,51.4000,8.5384,96.4000,0.8542,0.8777,0.0680,56.0973,82.3033,0.2151
2026-09-04T12:40:42Z,conservative,SELL,long,ADA,Cardano,0.21494500,4505.49896148,968.43,stop-loss -3.16%,-31.57,-3.157,True,False,9845.02,4937.16,19.14,31.620,0.000,1.1000,13.5500,3.6000,13.0000,15.3000,7.4237,92.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-09-04T12:40:42Z,conservative,BUY,long,XMR,Monero,531.96000000,1.87984059,1000.00,long momentum entry (score 61.23),,,False,False,9845.02,3937.16,,61.226,0.000,-0.2000,3.4059,16.4000,32.4000,55.2000,2.0868,94.4000,,,,,,
2026-09-04T12:48:26Z,conservative,SELL,long,HBAR,Hedera,0.07748000,12505.62753239,968.94,stop-loss -3.11%,-31.06,-3.106,True,False,9824.89,4906.09,19.27,23.194,0.000,1.9000,8.8438,1.6000,9.2000,15.7000,2.0579,88.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-09-04T12:48:26Z,conservative,BUY,long,LINK,Chainlink,11.61000000,86.13264427,1000.00,long momentum entry (score 26.61),,,False,False,9824.89,3906.09,,26.605,0.000,-0.4000,2.1253,2.3000,5.5000,47.7000,6.2838,93.6000,,,,,,
